"unique_id","Rep_No","cl_conc","v_in","v_f","Electrode_No"
"100_600_001_1","R1",100,0.30099475,0.30845779,1
"100_600_003_1","R2",100,0.27397349,0.30786863,1
"100_600_004_1","R3",100,0.28333056,0.31315285,1
"100_600_005_1","R4",100,0.28359357,0.31284621,1
"100_600_006_1","R5",100,0.2853972,0.31230173,1
"100_600_007_1","R6",100,0.28338557,0.31056529,1
"100_600_008_1","R7",100,0.28575677,0.30999118,1
"100_600_009_1","R8",100,0.28473455,0.30807713,1
"100_600_010_1","R9",100,0.28865361,0.31231564,1
"100_600_011_1","R10",100,0.29442966,0.32271513,1
"100_600_012_1","R11",100,0.28012949,0.31024811,1
"100_600_013_1","R12",100,0.29707447,0.32647237,1
"100_600_014_1","R13",100,0.29454142,0.32566524,1
"100_600_015_1","R14",100,0.29488984,0.32869297,1
"100_600_016_1","R15",100,0.30058971,0.33906648,1
"100_600_017_1","R16",100,0.3006793,0.34448165,1
"100_600_018_1","R17",100,0.30498037,0.36070997,1
"100_600_019_1","R18",100,0.29921046,0.36050069,1
"100_600_020_1","R19",100,0.30719453,0.37827015,1
"100_600_021_1","R20",100,0.31756517,0.40361014,1
"50_600_001_1","R1",50,0.40946534,0.47383326,4
"50_600_002_1","R2",50,0.40441531,0.49743864,4
"50_600_003_1","R3",50,0.40358403,0.49558777,4
"50_600_004_1","R4",50,0.37695956,0.46720243,4
"50_600_005_1","R5",50,0.39968148,0.49187529,4
"50_600_006_1","R6",50,0.39782837,0.49044526,4
"50_600_007_1","R7",50,0.40212035,0.48863161,4
"50_600_008_1","R8",50,0.40859222,0.49722084,4
"50_600_009_1","R9",50,0.41131949,0.49934497,4
"50_600_010_1","R10",50,0.42315665,0.51202792,4
"50_600_011_1","R11",50,0.42247605,0.51525062,4
"50_600_012_1","R12",50,0.4261823,0.52231735,4
"50_600_013_1","R13",50,0.44684824,0.54420012,4
"50_600_014_1","R14",50,0.45119783,0.54892498,4
"50_600_015_1","R15",50,0.44766158,0.54516584,4
"50_600_016_1","R16",50,0.45632738,0.55296904,4
"50_600_017_1","R17",50,0.4589591,0.56409806,4
"50_600_018_1","R18",50,0.5007742,0.601843,4
"50_600_019_1","R19",50,0.51912624,0.61913115,4
"50_600_020_1","R20",50,0.54990029,0.64951068,4
"25_600_001_1","R1",25,0.62418586,0.85887438,7
"25_600_002_1","R2",25,0.59100056,0.85856974,7
"25_600_003_1","R3",25,0.58881056,0.84958386,7
"25_600_004_1","R4",25,0.58981013,0.85849142,7
"25_600_005_1","R5",25,0.57435566,0.84401065,7
"25_600_006_1","R6",25,0.52878445,0.85972899,7
"25_600_007_1","R7",25,0.54053414,0.86573482,7
"25_600_008_1","R8",25,0.53115511,0.86272717,7
"25_600_009_1","R9",25,0.58061755,0.85215998,7
"25_600_010_1","R10",25,0.60463679,0.86238682,7
"25_600_011_1","R11",25,0.5985449,0.85078007,7
"25_600_012_1","R12",25,0.60345674,0.86413461,7
"25_600_013_1","R13",25,0.59660339,0.86330456,7
"25_600_014_1","R14",25,0.60595983,0.86068529,7
"25_600_015_1","R15",25,0.60318601,0.86357284,7
"25_600_016_1","R16",25,0.59969538,0.86453748,7
"25_600_017_1","R17",25,0.54141933,0.8617267,7
"25_600_018_1","R18",25,0.5483796,0.86502045,7
"25_600_019_1","R19",25,0.55579072,0.86617243,7
"25_600_020_1","R20",25,0.56270468,0.87000138,7
